category,sign,video_id,video_path,rel_path,n_frames,out_name,status,miss_left_raw,miss_right_raw,miss_left_fixed,miss_right_fixed
Adjectives,12. poor,MVI_9604,/Users/yamini/Desktop/projects/ISL PROJECT/include_videos/Adjectives/12. poor/MVI_9604.MOV,Adjectives/12. poor/MVI_9604.MOV,65,Adjectives__12. poor__MVI_9604.npy,skipped,,,,
Adjectives,12. poor,MVI_9737,/Users/yamini/Desktop/projects/ISL PROJECT/include_videos/Adjectives/12. poor/MVI_9737.MOV,Adjectives/12. poor/MVI_9737.MOV,62,Adjectives__12. poor__MVI_9737.npy,skipped,,,,
Adjectives,12. poor,MVI_9738,/Users/yamini/Desktop/projects/ISL PROJECT/include_videos/Adjectives/12. poor/MVI_9738.MOV,Adjectives/12. poor/MVI_9738.MOV,61,Adjectives__12. poor__MVI_9738.npy,skipped,,,,
Adjectives,12. poor,MVI_9739,/Users/yamini/Desktop/projects/ISL PROJECT/include_videos/Adjectives/12. poor/MVI_9739.MOV,Adjectives/12. poor/MVI_9739.MOV,64,Adjectives__12. poor__MVI_9739.npy,skipped,,,,
Adjectives,12. poor,MVI_9740,/Users/yamini/Desktop/projects/ISL PROJECT/include_videos/Adjectives/12. poor/MVI_9740.MOV,Adjectives/12. poor/MVI_9740.MOV,72,Adjectives__12. poor__MVI_9740.npy,skipped,,,,
Adjectives,13. thick,MVI_9605,/Users/yamini/Desktop/projects/ISL PROJECT/include_videos/Adjectives/13. thick/MVI_9605.MOV,Adjectives/13. thick/MVI_9605.MOV,58,Adjectives__13. thick__MVI_9605.npy,skipped,,,,
Adjectives,13. thick,MVI_9606,/Users/yamini/Desktop/projects/ISL PROJECT/include_videos/Adjectives/13. thick/MVI_9606.MOV,Adjectives/13. thick/MVI_9606.MOV,68,Adjectives__13. thick__MVI_9606.npy,skipped,,,,
Adjectives,13. thick,MVI_9607,/Users/yamini/Desktop/projects/ISL PROJECT/include_videos/Adjectives/13. thick/MVI_9607.MOV,Adjectives/13. thick/MVI_9607.MOV,72,Adjectives__13. thick__MVI_9607.npy,skipped,,,,
Adjectives,13. thick,MVI_9608,/Users/yamini/Desktop/projects/ISL PROJECT/include_videos/Adjectives/13. thick/MVI_9608.MOV,Adjectives/13. thick/MVI_9608.MOV,71,Adjectives__13. thick__MVI_9608.npy,skipped,,,,
Adjectives,13. thick,MVI_9742,/Users/yamini/Desktop/projects/ISL PROJECT/include_videos/Adjectives/13. thick/MVI_9742.MOV,Adjectives/13. thick/MVI_9742.MOV,64,Adjectives__13. thick__MVI_9742.npy,skipped,,,,
Adjectives,13. thick,MVI_9743,/Users/yamini/Desktop/projects/ISL PROJECT/include_videos/Adjectives/13. thick/MVI_9743.MOV,Adjectives/13. thick/MVI_9743.MOV,82,Adjectives__13. thick__MVI_9743.npy,skipped,,,,
Adjectives,13. thick,MVI_9744,/Users/yamini/Desktop/projects/ISL PROJECT/include_videos/Adjectives/13. thick/MVI_9744.MOV,Adjectives/13. thick/MVI_9744.MOV,74,Adjectives__13. thick__MVI_9744.npy,skipped,,,,
Adjectives,13. thick,MVI_9745,/Users/yamini/Desktop/projects/ISL PROJECT/include_videos/Adjectives/13. thick/MVI_9745.MOV,Adjectives/13. thick/MVI_9745.MOV,69,Adjectives__13. thick__MVI_9745.npy,skipped,,,,
Adjectives,14. thin,MVI_9609,/Users/yamini/Desktop/projects/ISL PROJECT/include_videos/Adjectives/14. thin/MVI_9609.MOV,Adjectives/14. thin/MVI_9609.MOV,62,Adjectives__14. thin__MVI_9609.npy,skipped,,,,
Adjectives,14. thin,MVI_9610,/Users/yamini/Desktop/projects/ISL PROJECT/include_videos/Adjectives/14. thin/MVI_9610.MOV,Adjectives/14. thin/MVI_9610.MOV,65,Adjectives__14. thin__MVI_9610.npy,skipped,,,,
Adjectives,14. thin,MVI_9611,/Users/yamini/Desktop/projects/ISL PROJECT/include_videos/Adjectives/14. thin/MVI_9611.MOV,Adjectives/14. thin/MVI_9611.MOV,65,Adjectives__14. thin__MVI_9611.npy,skipped,,,,
Adjectives,14. thin,MVI_9612,/Users/yamini/Desktop/projects/ISL PROJECT/include_videos/Adjectives/14. thin/MVI_9612.MOV,Adjectives/14. thin/MVI_9612.MOV,71,Adjectives__14. thin__MVI_9612.npy,skipped,,,,
Adjectives,15. expensive,MVI_9613,/Users/yamini/Desktop/projects/ISL PROJECT/include_videos/Adjectives/15. expensive/MVI_9613.MOV,Adjectives/15. expensive/MVI_9613.MOV,76,Adjectives__15. expensive__MVI_9613.npy,skipped,,,,
Adjectives,15. expensive,MVI_9614,/Users/yamini/Desktop/projects/ISL PROJECT/include_videos/Adjectives/15. expensive/MVI_9614.MOV,Adjectives/15. expensive/MVI_9614.MOV,71,Adjectives__15. expensive__MVI_9614.npy,skipped,,,,
Adjectives,15. expensive,MVI_9615,/Users/yamini/Desktop/projects/ISL PROJECT/include_videos/Adjectives/15. expensive/MVI_9615.MOV,Adjectives/15. expensive/MVI_9615.MOV,73,Adjectives__15. expensive__MVI_9615.npy,skipped,,,,
Adjectives,15. expensive,MVI_9616,/Users/yamini/Desktop/projects/ISL PROJECT/include_videos/Adjectives/15. expensive/MVI_9616.MOV,Adjectives/15. expensive/MVI_9616.MOV,63,Adjectives__15. expensive__MVI_9616.npy,skipped,,,,
Adjectives,15. expensive,MVI_9746,/Users/yamini/Desktop/projects/ISL PROJECT/include_videos/Adjectives/15. expensive/MVI_9746.MOV,Adjectives/15. expensive/MVI_9746.MOV,57,Adjectives__15. expensive__MVI_9746.npy,skipped,,,,
Adjectives,15. expensive,MVI_9747,/Users/yamini/Desktop/projects/ISL PROJECT/include_videos/Adjectives/15. expensive/MVI_9747.MOV,Adjectives/15. expensive/MVI_9747.MOV,55,Adjectives__15. expensive__MVI_9747.npy,skipped,,,,
Adjectives,15. expensive,MVI_9748,/Users/yamini/Desktop/projects/ISL PROJECT/include_videos/Adjectives/15. expensive/MVI_9748.MOV,Adjectives/15. expensive/MVI_9748.MOV,63,Adjectives__15. expensive__MVI_9748.npy,skipped,,,,
Adjectives,15. expensive,MVI_9749,/Users/yamini/Desktop/projects/ISL PROJECT/include_videos/Adjectives/15. expensive/MVI_9749.MOV,Adjectives/15. expensive/MVI_9749.MOV,63,Adjectives__15. expensive__MVI_9749.npy,skipped,,,,
Adjectives,16. cheap,MVI_9617,/Users/yamini/Desktop/projects/ISL PROJECT/include_videos/Adjectives/16. cheap/MVI_9617.MOV,Adjectives/16. cheap/MVI_9617.MOV,56,Adjectives__16. cheap__MVI_9617.npy,skipped,,,,
Adjectives,16. cheap,MVI_9618,/Users/yamini/Desktop/projects/ISL PROJECT/include_videos/Adjectives/16. cheap/MVI_9618.MOV,Adjectives/16. cheap/MVI_9618.MOV,64,Adjectives__16. cheap__MVI_9618.npy,skipped,,,,
Adjectives,16. cheap,MVI_9619,/Users/yamini/Desktop/projects/ISL PROJECT/include_videos/Adjectives/16. cheap/MVI_9619.MOV,Adjectives/16. cheap/MVI_9619.MOV,65,Adjectives__16. cheap__MVI_9619.npy,skipped,,,,
Adjectives,16. cheap,MVI_9620,/Users/yamini/Desktop/projects/ISL PROJECT/include_videos/Adjectives/16. cheap/MVI_9620.MOV,Adjectives/16. cheap/MVI_9620.MOV,60,Adjectives__16. cheap__MVI_9620.npy,skipped,,,,
Adjectives,16. cheap,MVI_9750,/Users/yamini/Desktop/projects/ISL PROJECT/include_videos/Adjectives/16. cheap/MVI_9750.MOV,Adjectives/16. cheap/MVI_9750.MOV,61,Adjectives__16. cheap__MVI_9750.npy,skipped,,,,
Adjectives,16. cheap,MVI_9751,/Users/yamini/Desktop/projects/ISL PROJECT/include_videos/Adjectives/16. cheap/MVI_9751.MOV,Adjectives/16. cheap/MVI_9751.MOV,70,Adjectives__16. cheap__MVI_9751.npy,skipped,,,,
Adjectives,16. cheap,MVI_9752,/Users/yamini/Desktop/projects/ISL PROJECT/include_videos/Adjectives/16. cheap/MVI_9752.MOV,Adjectives/16. cheap/MVI_9752.MOV,66,Adjectives__16. cheap__MVI_9752.npy,skipped,,,,
Adjectives,16. cheap,MVI_9754,/Users/yamini/Desktop/projects/ISL PROJECT/include_videos/Adjectives/16. cheap/MVI_9754.MOV,Adjectives/16. cheap/MVI_9754.MOV,60,Adjectives__16. cheap__MVI_9754.npy,skipped,,,,
Adjectives,17. flat,MVI_9621,/Users/yamini/Desktop/projects/ISL PROJECT/include_videos/Adjectives/17. flat/MVI_9621.MOV,Adjectives/17. flat/MVI_9621.MOV,59,Adjectives__17. flat__MVI_9621.npy,skipped,,,,
Adjectives,17. flat,MVI_9622,/Users/yamini/Desktop/projects/ISL PROJECT/include_videos/Adjectives/17. flat/MVI_9622.MOV,Adjectives/17. flat/MVI_9622.MOV,67,Adjectives__17. flat__MVI_9622.npy,skipped,,,,
Adjectives,17. flat,MVI_9623,/Users/yamini/Desktop/projects/ISL PROJECT/include_videos/Adjectives/17. flat/MVI_9623.MOV,Adjectives/17. flat/MVI_9623.MOV,70,Adjectives__17. flat__MVI_9623.npy,skipped,,,,
Adjectives,17. flat,MVI_9624,/Users/yamini/Desktop/projects/ISL PROJECT/include_videos/Adjectives/17. flat/MVI_9624.MOV,Adjectives/17. flat/MVI_9624.MOV,67,Adjectives__17. flat__MVI_9624.npy,skipped,,,,
Adjectives,17. flat,MVI_9755,/Users/yamini/Desktop/projects/ISL PROJECT/include_videos/Adjectives/17. flat/MVI_9755.MOV,Adjectives/17. flat/MVI_9755.MOV,58,Adjectives__17. flat__MVI_9755.npy,skipped,,,,
Adjectives,17. flat,MVI_9756,/Users/yamini/Desktop/projects/ISL PROJECT/include_videos/Adjectives/17. flat/MVI_9756.MOV,Adjectives/17. flat/MVI_9756.MOV,65,Adjectives__17. flat__MVI_9756.npy,skipped,,,,
Adjectives,17. flat,MVI_9757,/Users/yamini/Desktop/projects/ISL PROJECT/include_videos/Adjectives/17. flat/MVI_9757.MOV,Adjectives/17. flat/MVI_9757.MOV,62,Adjectives__17. flat__MVI_9757.npy,skipped,,,,
Adjectives,17. flat,MVI_9758,/Users/yamini/Desktop/projects/ISL PROJECT/include_videos/Adjectives/17. flat/MVI_9758.MOV,Adjectives/17. flat/MVI_9758.MOV,63,Adjectives__17. flat__MVI_9758.npy,skipped,,,,
Adjectives,18. curved,MVI_9633,/Users/yamini/Desktop/projects/ISL PROJECT/include_videos/Adjectives/18. curved/MVI_9633.MOV,Adjectives/18. curved/MVI_9633.MOV,77,Adjectives__18. curved__MVI_9633.npy,skipped,,,,
Adjectives,18. curved,MVI_9634,/Users/yamini/Desktop/projects/ISL PROJECT/include_videos/Adjectives/18. curved/MVI_9634.MOV,Adjectives/18. curved/MVI_9634.MOV,77,Adjectives__18. curved__MVI_9634.npy,skipped,,,,
Adjectives,18. curved,MVI_9635,/Users/yamini/Desktop/projects/ISL PROJECT/include_videos/Adjectives/18. curved/MVI_9635.MOV,Adjectives/18. curved/MVI_9635.MOV,69,Adjectives__18. curved__MVI_9635.npy,skipped,,,,
Adjectives,18. curved,MVI_9636,/Users/yamini/Desktop/projects/ISL PROJECT/include_videos/Adjectives/18. curved/MVI_9636.MOV,Adjectives/18. curved/MVI_9636.MOV,67,Adjectives__18. curved__MVI_9636.npy,skipped,,,,
Adjectives,18. curved,MVI_9759,/Users/yamini/Desktop/projects/ISL PROJECT/include_videos/Adjectives/18. curved/MVI_9759.MOV,Adjectives/18. curved/MVI_9759.MOV,72,Adjectives__18. curved__MVI_9759.npy,skipped,,,,
Adjectives,18. curved,MVI_9760,/Users/yamini/Desktop/projects/ISL PROJECT/include_videos/Adjectives/18. curved/MVI_9760.MOV,Adjectives/18. curved/MVI_9760.MOV,83,Adjectives__18. curved__MVI_9760.npy,skipped,,,,
Adjectives,18. curved,MVI_9761,/Users/yamini/Desktop/projects/ISL PROJECT/include_videos/Adjectives/18. curved/MVI_9761.MOV,Adjectives/18. curved/MVI_9761.MOV,73,Adjectives__18. curved__MVI_9761.npy,skipped,,,,
Adjectives,18. curved,MVI_9762,/Users/yamini/Desktop/projects/ISL PROJECT/include_videos/Adjectives/18. curved/MVI_9762.MOV,Adjectives/18. curved/MVI_9762.MOV,70,Adjectives__18. curved__MVI_9762.npy,skipped,,,,
Adjectives,19. male,MVI_9637,/Users/yamini/Desktop/projects/ISL PROJECT/include_videos/Adjectives/19. male/MVI_9637.MOV,Adjectives/19. male/MVI_9637.MOV,59,Adjectives__19. male__MVI_9637.npy,skipped,,,,
Adjectives,19. male,MVI_9638,/Users/yamini/Desktop/projects/ISL PROJECT/include_videos/Adjectives/19. male/MVI_9638.MOV,Adjectives/19. male/MVI_9638.MOV,80,Adjectives__19. male__MVI_9638.npy,skipped,,,,
Adjectives,19. male,MVI_9639,/Users/yamini/Desktop/projects/ISL PROJECT/include_videos/Adjectives/19. male/MVI_9639.MOV,Adjectives/19. male/MVI_9639.MOV,60,Adjectives__19. male__MVI_9639.npy,skipped,,,,
Adjectives,19. male,MVI_9640,/Users/yamini/Desktop/projects/ISL PROJECT/include_videos/Adjectives/19. male/MVI_9640.MOV,Adjectives/19. male/MVI_9640.MOV,73,Adjectives__19. male__MVI_9640.npy,skipped,,,,
Adjectives,19. male,MVI_9763,/Users/yamini/Desktop/projects/ISL PROJECT/include_videos/Adjectives/19. male/MVI_9763.MOV,Adjectives/19. male/MVI_9763.MOV,61,Adjectives__19. male__MVI_9763.npy,skipped,,,,
Adjectives,19. male,MVI_9764,/Users/yamini/Desktop/projects/ISL PROJECT/include_videos/Adjectives/19. male/MVI_9764.MOV,Adjectives/19. male/MVI_9764.MOV,61,Adjectives__19. male__MVI_9764.npy,skipped,,,,
Adjectives,19. male,MVI_9765,/Users/yamini/Desktop/projects/ISL PROJECT/include_videos/Adjectives/19. male/MVI_9765.MOV,Adjectives/19. male/MVI_9765.MOV,54,Adjectives__19. male__MVI_9765.npy,skipped,,,,
Adjectives,19. male,MVI_9766,/Users/yamini/Desktop/projects/ISL PROJECT/include_videos/Adjectives/19. male/MVI_9766.MOV,Adjectives/19. male/MVI_9766.MOV,52,Adjectives__19. male__MVI_9766.npy,skipped,,,,
Adjectives,2. quiet,MVI_5180,/Users/yamini/Desktop/projects/ISL PROJECT/include_videos/Adjectives/2. quiet/MVI_5180.MOV,Adjectives/2. quiet/MVI_5180.MOV,68,Adjectives__2. quiet__MVI_5180.npy,skipped,,,,
Adjectives,2. quiet,MVI_5181,/Users/yamini/Desktop/projects/ISL PROJECT/include_videos/Adjectives/2. quiet/MVI_5181.MOV,Adjectives/2. quiet/MVI_5181.MOV,74,Adjectives__2. quiet__MVI_5181.npy,skipped,,,,
Adjectives,2. quiet,MVI_5182,/Users/yamini/Desktop/projects/ISL PROJECT/include_videos/Adjectives/2. quiet/MVI_5182.MOV,Adjectives/2. quiet/MVI_5182.MOV,76,Adjectives__2. quiet__MVI_5182.npy,skipped,,,,
Adjectives,2. quiet,MVI_5260,/Users/yamini/Desktop/projects/ISL PROJECT/include_videos/Adjectives/2. quiet/MVI_5260.MOV,Adjectives/2. quiet/MVI_5260.MOV,69,Adjectives__2. quiet__MVI_5260.npy,skipped,,,,
Adjectives,2. quiet,MVI_5261,/Users/yamini/Desktop/projects/ISL PROJECT/include_videos/Adjectives/2. quiet/MVI_5261.MOV,Adjectives/2. quiet/MVI_5261.MOV,63,Adjectives__2. quiet__MVI_5261.npy,skipped,,,,
Adjectives,2. quiet,MVI_5262,/Users/yamini/Desktop/projects/ISL PROJECT/include_videos/Adjectives/2. quiet/MVI_5262.MOV,Adjectives/2. quiet/MVI_5262.MOV,66,Adjectives__2. quiet__MVI_5262.npy,skipped,,,,
Adjectives,2. quiet,MVI_5338,/Users/yamini/Desktop/projects/ISL PROJECT/include_videos/Adjectives/2. quiet/MVI_5338.MOV,Adjectives/2. quiet/MVI_5338.MOV,45,Adjectives__2. quiet__MVI_5338.npy,skipped,,,,
Adjectives,2. quiet,MVI_5339,/Users/yamini/Desktop/projects/ISL PROJECT/include_videos/Adjectives/2. quiet/MVI_5339.MOV,Adjectives/2. quiet/MVI_5339.MOV,52,Adjectives__2. quiet__MVI_5339.npy,skipped,,,,
Adjectives,2. quiet,MVI_5340,/Users/yamini/Desktop/projects/ISL PROJECT/include_videos/Adjectives/2. quiet/MVI_5340.MOV,Adjectives/2. quiet/MVI_5340.MOV,53,Adjectives__2. quiet__MVI_5340.npy,skipped,,,,
Adjectives,2. quiet,MVI_9292,/Users/yamini/Desktop/projects/ISL PROJECT/include_videos/Adjectives/2. quiet/MVI_9292.MOV,Adjectives/2. quiet/MVI_9292.MOV,53,Adjectives__2. quiet__MVI_9292.npy,skipped,,,,
Adjectives,2. quiet,MVI_9293,/Users/yamini/Desktop/projects/ISL PROJECT/include_videos/Adjectives/2. quiet/MVI_9293.MOV,Adjectives/2. quiet/MVI_9293.MOV,53,Adjectives__2. quiet__MVI_9293.npy,skipped,,,,
Adjectives,2. quiet,MVI_9294,/Users/yamini/Desktop/projects/ISL PROJECT/include_videos/Adjectives/2. quiet/MVI_9294.MOV,Adjectives/2. quiet/MVI_9294.MOV,56,Adjectives__2. quiet__MVI_9294.npy,skipped,,,,
Adjectives,2. quiet,MVI_9371,/Users/yamini/Desktop/projects/ISL PROJECT/include_videos/Adjectives/2. quiet/MVI_9371.MOV,Adjectives/2. quiet/MVI_9371.MOV,48,Adjectives__2. quiet__MVI_9371.npy,skipped,,,,
Adjectives,2. quiet,MVI_9372,/Users/yamini/Desktop/projects/ISL PROJECT/include_videos/Adjectives/2. quiet/MVI_9372.MOV,Adjectives/2. quiet/MVI_9372.MOV,47,Adjectives__2. quiet__MVI_9372.npy,skipped,,,,
