category,sign,video_id,out_name,signer_id
Adjectives,10. Mean,MVI_9732,Adjectives__10. Mean__MVI_9732.npy,7
Adjectives,11. rich,MVI_9596,Adjectives__11. rich__MVI_9596.npy,0
Adjectives,11. rich,MVI_9597,Adjectives__11. rich__MVI_9597.npy,1
Adjectives,11. rich,MVI_9598,Adjectives__11. rich__MVI_9598.npy,2
Adjectives,11. rich,MVI_9599,Adjectives__11. rich__MVI_9599.npy,3
Adjectives,11. rich,MVI_9733,Adjectives__11. rich__MVI_9733.npy,4
Adjectives,11. rich,MVI_9734,Adjectives__11. rich__MVI_9734.npy,5
Adjectives,11. rich,MVI_9735,Adjectives__11. rich__MVI_9735.npy,6
Adjectives,11. rich,MVI_9736,Adjectives__11. rich__MVI_9736.npy,7
Adjectives,12. poor,MVI_9600,Adjectives__12. poor__MVI_9600.npy,0
Adjectives,12. poor,MVI_9601,Adjectives__12. poor__MVI_9601.npy,1
Adjectives,12. poor,MVI_9603,Adjectives__12. poor__MVI_9603.npy,2
Adjectives,12. poor,MVI_9604,Adjectives__12. poor__MVI_9604.npy,3
Adjectives,12. poor,MVI_9737,Adjectives__12. poor__MVI_9737.npy,4
Adjectives,12. poor,MVI_9738,Adjectives__12. poor__MVI_9738.npy,5
Adjectives,12. poor,MVI_9739,Adjectives__12. poor__MVI_9739.npy,6
Adjectives,12. poor,MVI_9740,Adjectives__12. poor__MVI_9740.npy,7
Adjectives,13. thick,MVI_9605,Adjectives__13. thick__MVI_9605.npy,0
Adjectives,13. thick,MVI_9606,Adjectives__13. thick__MVI_9606.npy,1
Adjectives,13. thick,MVI_9607,Adjectives__13. thick__MVI_9607.npy,2
Adjectives,13. thick,MVI_9608,Adjectives__13. thick__MVI_9608.npy,3
Adjectives,13. thick,MVI_9742,Adjectives__13. thick__MVI_9742.npy,4
Adjectives,13. thick,MVI_9743,Adjectives__13. thick__MVI_9743.npy,5
Adjectives,13. thick,MVI_9744,Adjectives__13. thick__MVI_9744.npy,6
Adjectives,13. thick,MVI_9745,Adjectives__13. thick__MVI_9745.npy,7
Adjectives,14. thin,MVI_9609,Adjectives__14. thin__MVI_9609.npy,0
Adjectives,14. thin,MVI_9610,Adjectives__14. thin__MVI_9610.npy,1
Adjectives,14. thin,MVI_9611,Adjectives__14. thin__MVI_9611.npy,2
Adjectives,14. thin,MVI_9612,Adjectives__14. thin__MVI_9612.npy,3
Adjectives,15. expensive,MVI_9613,Adjectives__15. expensive__MVI_9613.npy,0
Adjectives,15. expensive,MVI_9614,Adjectives__15. expensive__MVI_9614.npy,1
Adjectives,15. expensive,MVI_9615,Adjectives__15. expensive__MVI_9615.npy,2
Adjectives,15. expensive,MVI_9616,Adjectives__15. expensive__MVI_9616.npy,3
Adjectives,15. expensive,MVI_9746,Adjectives__15. expensive__MVI_9746.npy,4
Adjectives,15. expensive,MVI_9747,Adjectives__15. expensive__MVI_9747.npy,5
Adjectives,15. expensive,MVI_9748,Adjectives__15. expensive__MVI_9748.npy,6
Adjectives,15. expensive,MVI_9749,Adjectives__15. expensive__MVI_9749.npy,7
Adjectives,16. cheap,MVI_9617,Adjectives__16. cheap__MVI_9617.npy,0
Adjectives,16. cheap,MVI_9618,Adjectives__16. cheap__MVI_9618.npy,1
Adjectives,16. cheap,MVI_9619,Adjectives__16. cheap__MVI_9619.npy,2
Adjectives,16. cheap,MVI_9620,Adjectives__16. cheap__MVI_9620.npy,3
Adjectives,16. cheap,MVI_9750,Adjectives__16. cheap__MVI_9750.npy,4
Adjectives,16. cheap,MVI_9751,Adjectives__16. cheap__MVI_9751.npy,5
Adjectives,16. cheap,MVI_9752,Adjectives__16. cheap__MVI_9752.npy,6
Adjectives,16. cheap,MVI_9754,Adjectives__16. cheap__MVI_9754.npy,7
Adjectives,17. flat,MVI_9621,Adjectives__17. flat__MVI_9621.npy,0
Adjectives,17. flat,MVI_9622,Adjectives__17. flat__MVI_9622.npy,1
Adjectives,17. flat,MVI_9623,Adjectives__17. flat__MVI_9623.npy,2
Adjectives,17. flat,MVI_9624,Adjectives__17. flat__MVI_9624.npy,3
Adjectives,17. flat,MVI_9755,Adjectives__17. flat__MVI_9755.npy,4
Adjectives,17. flat,MVI_9756,Adjectives__17. flat__MVI_9756.npy,5
Adjectives,17. flat,MVI_9757,Adjectives__17. flat__MVI_9757.npy,6
Adjectives,17. flat,MVI_9758,Adjectives__17. flat__MVI_9758.npy,7
Adjectives,18. curved,MVI_9633,Adjectives__18. curved__MVI_9633.npy,0
Adjectives,18. curved,MVI_9634,Adjectives__18. curved__MVI_9634.npy,1
Adjectives,18. curved,MVI_9635,Adjectives__18. curved__MVI_9635.npy,2
Adjectives,18. curved,MVI_9636,Adjectives__18. curved__MVI_9636.npy,3
Adjectives,18. curved,MVI_9759,Adjectives__18. curved__MVI_9759.npy,4
Adjectives,18. curved,MVI_9760,Adjectives__18. curved__MVI_9760.npy,5
Adjectives,18. curved,MVI_9761,Adjectives__18. curved__MVI_9761.npy,6
Adjectives,18. curved,MVI_9762,Adjectives__18. curved__MVI_9762.npy,7
Adjectives,19. male,MVI_9637,Adjectives__19. male__MVI_9637.npy,0
Adjectives,19. male,MVI_9638,Adjectives__19. male__MVI_9638.npy,1
Adjectives,19. male,MVI_9639,Adjectives__19. male__MVI_9639.npy,2
Adjectives,19. male,MVI_9640,Adjectives__19. male__MVI_9640.npy,3
Adjectives,19. male,MVI_9763,Adjectives__19. male__MVI_9763.npy,4
Adjectives,19. male,MVI_9764,Adjectives__19. male__MVI_9764.npy,5
Adjectives,19. male,MVI_9765,Adjectives__19. male__MVI_9765.npy,6
Adjectives,19. male,MVI_9766,Adjectives__19. male__MVI_9766.npy,7
Adjectives,2. quiet,MVI_5180,Adjectives__2. quiet__MVI_5180.npy,0
Adjectives,2. quiet,MVI_5181,Adjectives__2. quiet__MVI_5181.npy,1
Adjectives,2. quiet,MVI_5182,Adjectives__2. quiet__MVI_5182.npy,2
Adjectives,2. quiet,MVI_5260,Adjectives__2. quiet__MVI_5260.npy,3
Adjectives,2. quiet,MVI_5261,Adjectives__2. quiet__MVI_5261.npy,4
Adjectives,2. quiet,MVI_5262,Adjectives__2. quiet__MVI_5262.npy,5
Adjectives,2. quiet,MVI_5338,Adjectives__2. quiet__MVI_5338.npy,6
Adjectives,2. quiet,MVI_5339,Adjectives__2. quiet__MVI_5339.npy,7
Adjectives,2. quiet,MVI_5340,Adjectives__2. quiet__MVI_5340.npy,8
Adjectives,2. quiet,MVI_9292,Adjectives__2. quiet__MVI_9292.npy,9
Adjectives,2. quiet,MVI_9293,Adjectives__2. quiet__MVI_9293.npy,10
Adjectives,2. quiet,MVI_9294,Adjectives__2. quiet__MVI_9294.npy,11
Adjectives,2. quiet,MVI_9371,Adjectives__2. quiet__MVI_9371.npy,12
Adjectives,2. quiet,MVI_9372,Adjectives__2. quiet__MVI_9372.npy,13
Adjectives,2. quiet,MVI_9373,Adjectives__2. quiet__MVI_9373.npy,14
Adjectives,2. quiet,MVI_9451,Adjectives__2. quiet__MVI_9451.npy,0
Adjectives,2. quiet,MVI_9452,Adjectives__2. quiet__MVI_9452.npy,1
Adjectives,2. quiet,MVI_9453,Adjectives__2. quiet__MVI_9453.npy,2
Adjectives,2. quiet,MVI_9537,Adjectives__2. quiet__MVI_9537.npy,3
Adjectives,2. quiet,MVI_9538,Adjectives__2. quiet__MVI_9538.npy,4
Adjectives,2. quiet,MVI_9539,Adjectives__2. quiet__MVI_9539.npy,5
Adjectives,20. female,MVI_9642,Adjectives__20. female__MVI_9642.npy,0
Adjectives,20. female,MVI_9643,Adjectives__20. female__MVI_9643.npy,1
Adjectives,20. female,MVI_9644,Adjectives__20. female__MVI_9644.npy,2
Adjectives,20. female,MVI_9645,Adjectives__20. female__MVI_9645.npy,3
Adjectives,20. female,MVI_9767,Adjectives__20. female__MVI_9767.npy,4
Adjectives,20. female,MVI_9768,Adjectives__20. female__MVI_9768.npy,5
Adjectives,20. female,MVI_9769,Adjectives__20. female__MVI_9769.npy,6
Adjectives,20. female,MVI_9770,Adjectives__20. female__MVI_9770.npy,7
Adjectives,21. tight,MVI_9646,Adjectives__21. tight__MVI_9646.npy,0
Adjectives,21. tight,MVI_9647,Adjectives__21. tight__MVI_9647.npy,1
Adjectives,21. tight,MVI_9648,Adjectives__21. tight__MVI_9648.npy,2
Adjectives,21. tight,MVI_9649,Adjectives__21. tight__MVI_9649.npy,3
Adjectives,21. tight,MVI_9771,Adjectives__21. tight__MVI_9771.npy,4
Adjectives,21. tight,MVI_9772,Adjectives__21. tight__MVI_9772.npy,5
Adjectives,21. tight,MVI_9773,Adjectives__21. tight__MVI_9773.npy,6
Adjectives,21. tight,MVI_9774,Adjectives__21. tight__MVI_9774.npy,7
Adjectives,22. loose,MVI_9650,Adjectives__22. loose__MVI_9650.npy,0
Adjectives,22. loose,MVI_9651,Adjectives__22. loose__MVI_9651.npy,1
Adjectives,22. loose,MVI_9652,Adjectives__22. loose__MVI_9652.npy,2
Adjectives,22. loose,MVI_9653,Adjectives__22. loose__MVI_9653.npy,3
Adjectives,22. loose,MVI_9775,Adjectives__22. loose__MVI_9775.npy,4
Adjectives,22. loose,MVI_9776,Adjectives__22. loose__MVI_9776.npy,5
Adjectives,22. loose,MVI_9777,Adjectives__22. loose__MVI_9777.npy,6
Adjectives,22. loose,MVI_9778,Adjectives__22. loose__MVI_9778.npy,7
Adjectives,23. high,MVI_9654,Adjectives__23. high__MVI_9654.npy,0
Adjectives,23. high,MVI_9655,Adjectives__23. high__MVI_9655.npy,1
Adjectives,23. high,MVI_9656,Adjectives__23. high__MVI_9656.npy,2
Adjectives,23. high,MVI_9657,Adjectives__23. high__MVI_9657.npy,3
Adjectives,23. high,MVI_9780,Adjectives__23. high__MVI_9780.npy,4
Adjectives,23. high,MVI_9781,Adjectives__23. high__MVI_9781.npy,5
Adjectives,23. high,MVI_9782,Adjectives__23. high__MVI_9782.npy,6
Adjectives,23. high,MVI_9783,Adjectives__23. high__MVI_9783.npy,7
Adjectives,24. low,MVI_9658,Adjectives__24. low__MVI_9658.npy,0
Adjectives,24. low,MVI_9659,Adjectives__24. low__MVI_9659.npy,1
Adjectives,24. low,MVI_9660,Adjectives__24. low__MVI_9660.npy,2
Adjectives,24. low,MVI_9661,Adjectives__24. low__MVI_9661.npy,3
Adjectives,24. low,MVI_9784,Adjectives__24. low__MVI_9784.npy,4
Adjectives,24. low,MVI_9785,Adjectives__24. low__MVI_9785.npy,5
Adjectives,24. low,MVI_9786,Adjectives__24. low__MVI_9786.npy,6
Adjectives,24. low,MVI_9787,Adjectives__24. low__MVI_9787.npy,7
Adjectives,25. soft,MVI_9662,Adjectives__25. soft__MVI_9662.npy,0
Adjectives,25. soft,MVI_9663,Adjectives__25. soft__MVI_9663.npy,1
Adjectives,25. soft,MVI_9664,Adjectives__25. soft__MVI_9664.npy,2
Adjectives,25. soft,MVI_9665,Adjectives__25. soft__MVI_9665.npy,3
Adjectives,25. soft,MVI_9789,Adjectives__25. soft__MVI_9789.npy,4
Adjectives,25. soft,MVI_9790,Adjectives__25. soft__MVI_9790.npy,5
Adjectives,25. soft,MVI_9791,Adjectives__25. soft__MVI_9791.npy,6
Adjectives,25. soft,MVI_9792,Adjectives__25. soft__MVI_9792.npy,7
Adjectives,26. hard,MVI_9666,Adjectives__26. hard__MVI_9666.npy,0
Adjectives,26. hard,MVI_9667,Adjectives__26. hard__MVI_9667.npy,1
Adjectives,26. hard,MVI_9668,Adjectives__26. hard__MVI_9668.npy,2
Adjectives,26. hard,MVI_9669,Adjectives__26. hard__MVI_9669.npy,3
Adjectives,26. hard,MVI_9793,Adjectives__26. hard__MVI_9793.npy,4
Adjectives,26. hard,MVI_9794,Adjectives__26. hard__MVI_9794.npy,5
Adjectives,26. hard,MVI_9795,Adjectives__26. hard__MVI_9795.npy,6
Adjectives,26. hard,MVI_9796,Adjectives__26. hard__MVI_9796.npy,7
Adjectives,27. deep,MVI_9670,Adjectives__27. deep__MVI_9670.npy,0
Adjectives,27. deep,MVI_9671,Adjectives__27. deep__MVI_9671.npy,1
Adjectives,27. deep,MVI_9672,Adjectives__27. deep__MVI_9672.npy,2
Adjectives,27. deep,MVI_9673,Adjectives__27. deep__MVI_9673.npy,3
Adjectives,27. deep,MVI_9797,Adjectives__27. deep__MVI_9797.npy,4
Adjectives,27. deep,MVI_9798,Adjectives__27. deep__MVI_9798.npy,5
Adjectives,27. deep,MVI_9799,Adjectives__27. deep__MVI_9799.npy,6
Adjectives,27. deep,MVI_9800,Adjectives__27. deep__MVI_9800.npy,7
Adjectives,28. shallow,MVI_9674,Adjectives__28. shallow__MVI_9674.npy,0
Adjectives,28. shallow,MVI_9675,Adjectives__28. shallow__MVI_9675.npy,1
Adjectives,28. shallow,MVI_9676,Adjectives__28. shallow__MVI_9676.npy,2
Adjectives,28. shallow,MVI_9677,Adjectives__28. shallow__MVI_9677.npy,3
Adjectives,28. shallow,MVI_9801,Adjectives__28. shallow__MVI_9801.npy,4
Adjectives,28. shallow,MVI_9802,Adjectives__28. shallow__MVI_9802.npy,5
Adjectives,28. shallow,MVI_9803,Adjectives__28. shallow__MVI_9803.npy,6
Adjectives,28. shallow,MVI_9804,Adjectives__28. shallow__MVI_9804.npy,7
Adjectives,29. clean,MVI_9679,Adjectives__29. clean__MVI_9679.npy,0
Adjectives,29. clean,MVI_9680,Adjectives__29. clean__MVI_9680.npy,1
Adjectives,29. clean,MVI_9681,Adjectives__29. clean__MVI_9681.npy,2
Adjectives,29. clean,MVI_9682,Adjectives__29. clean__MVI_9682.npy,3
Adjectives,29. clean,MVI_9806,Adjectives__29. clean__MVI_9806.npy,4
Adjectives,29. clean,MVI_9807,Adjectives__29. clean__MVI_9807.npy,5
Adjectives,29. clean,MVI_9808,Adjectives__29. clean__MVI_9808.npy,6
Adjectives,29. clean,MVI_9809,Adjectives__29. clean__MVI_9809.npy,7
Adjectives,3. happy,MVI_5183,Adjectives__3. happy__MVI_5183.npy,0
Adjectives,3. happy,MVI_5184,Adjectives__3. happy__MVI_5184.npy,1
Adjectives,3. happy,MVI_5185,Adjectives__3. happy__MVI_5185.npy,2
Adjectives,3. happy,MVI_5263,Adjectives__3. happy__MVI_5263.npy,3
Adjectives,3. happy,MVI_5264,Adjectives__3. happy__MVI_5264.npy,4
Adjectives,3. happy,MVI_5265,Adjectives__3. happy__MVI_5265.npy,5
Adjectives,3. happy,MVI_5341,Adjectives__3. happy__MVI_5341.npy,6
Adjectives,3. happy,MVI_5342,Adjectives__3. happy__MVI_5342.npy,7
Adjectives,3. happy,MVI_5343,Adjectives__3. happy__MVI_5343.npy,8
Adjectives,3. happy,MVI_9295,Adjectives__3. happy__MVI_9295.npy,9
Adjectives,3. happy,MVI_9296,Adjectives__3. happy__MVI_9296.npy,10
Adjectives,3. happy,MVI_9297,Adjectives__3. happy__MVI_9297.npy,11
Adjectives,3. happy,MVI_9374,Adjectives__3. happy__MVI_9374.npy,12
Adjectives,3. happy,MVI_9375,Adjectives__3. happy__MVI_9375.npy,13
Adjectives,3. happy,MVI_9376,Adjectives__3. happy__MVI_9376.npy,14
Adjectives,3. happy,MVI_9454,Adjectives__3. happy__MVI_9454.npy,0
Adjectives,3. happy,MVI_9455,Adjectives__3. happy__MVI_9455.npy,1
Adjectives,3. happy,MVI_9456,Adjectives__3. happy__MVI_9456.npy,2
Adjectives,3. happy,MVI_9540,Adjectives__3. happy__MVI_9540.npy,3
Adjectives,3. happy,MVI_9541,Adjectives__3. happy__MVI_9541.npy,4
Adjectives,3. happy,MVI_9542,Adjectives__3. happy__MVI_9542.npy,5
Adjectives,30. dirty,MVI_9684,Adjectives__30. dirty__MVI_9684.npy,0
Adjectives,30. dirty,MVI_9685,Adjectives__30. dirty__MVI_9685.npy,1
Adjectives,30. dirty,MVI_9686,Adjectives__30. dirty__MVI_9686.npy,2
Adjectives,30. dirty,MVI_9687,Adjectives__30. dirty__MVI_9687.npy,3
Adjectives,30. dirty,MVI_9810,Adjectives__30. dirty__MVI_9810.npy,4
Adjectives,30. dirty,MVI_9811,Adjectives__30. dirty__MVI_9811.npy,5
Adjectives,30. dirty,MVI_9812,Adjectives__30. dirty__MVI_9812.npy,6
Adjectives,30. dirty,MVI_9813,Adjectives__30. dirty__MVI_9813.npy,7
Adjectives,31. strong,MVI_9690,Adjectives__31. strong__MVI_9690.npy,0
Adjectives,31. strong,MVI_9691,Adjectives__31. strong__MVI_9691.npy,1
Adjectives,31. strong,MVI_9692,Adjectives__31. strong__MVI_9692.npy,2
Adjectives,31. strong,MVI_9693,Adjectives__31. strong__MVI_9693.npy,3
Adjectives,31. strong,MVI_9814,Adjectives__31. strong__MVI_9814.npy,4
Adjectives,31. strong,MVI_9815,Adjectives__31. strong__MVI_9815.npy,5
Adjectives,31. strong,MVI_9816,Adjectives__31. strong__MVI_9816.npy,6
Adjectives,31. strong,MVI_9817,Adjectives__31. strong__MVI_9817.npy,7
Adjectives,32. weak,MVI_9694,Adjectives__32. weak__MVI_9694.npy,0
Adjectives,32. weak,MVI_9695,Adjectives__32. weak__MVI_9695.npy,1
Adjectives,32. weak,MVI_9696,Adjectives__32. weak__MVI_9696.npy,2
Adjectives,32. weak,MVI_9697,Adjectives__32. weak__MVI_9697.npy,3
Adjectives,32. weak,MVI_9818,Adjectives__32. weak__MVI_9818.npy,4
Adjectives,32. weak,MVI_9819,Adjectives__32. weak__MVI_9819.npy,5
Adjectives,32. weak,MVI_9820,Adjectives__32. weak__MVI_9820.npy,6
Adjectives,32. weak,MVI_9821,Adjectives__32. weak__MVI_9821.npy,7
Adjectives,33. dead,MVI_9699,Adjectives__33. dead__MVI_9699.npy,0
Adjectives,33. dead,MVI_9700,Adjectives__33. dead__MVI_9700.npy,1
Adjectives,33. dead,MVI_9701,Adjectives__33. dead__MVI_9701.npy,2
Adjectives,33. dead,MVI_9702,Adjectives__33. dead__MVI_9702.npy,3
Adjectives,33. dead,MVI_9823,Adjectives__33. dead__MVI_9823.npy,4
Adjectives,33. dead,MVI_9824,Adjectives__33. dead__MVI_9824.npy,5
Adjectives,33. dead,MVI_9825,Adjectives__33. dead__MVI_9825.npy,6
Adjectives,33. dead,MVI_9826,Adjectives__33. dead__MVI_9826.npy,7
Adjectives,34. alive,MVI_9703,Adjectives__34. alive__MVI_9703.npy,0
Adjectives,34. alive,MVI_9704,Adjectives__34. alive__MVI_9704.npy,1
Adjectives,34. alive,MVI_9705,Adjectives__34. alive__MVI_9705.npy,2
Adjectives,34. alive,MVI_9706,Adjectives__34. alive__MVI_9706.npy,3
Adjectives,34. alive,MVI_9827,Adjectives__34. alive__MVI_9827.npy,4
Adjectives,34. alive,MVI_9828,Adjectives__34. alive__MVI_9828.npy,5
Adjectives,34. alive,MVI_9829,Adjectives__34. alive__MVI_9829.npy,6
Adjectives,34. alive,MVI_9830,Adjectives__34. alive__MVI_9830.npy,7
Adjectives,35. heavy,MVI_9707,Adjectives__35. heavy__MVI_9707.npy,0
Adjectives,35. heavy,MVI_9708,Adjectives__35. heavy__MVI_9708.npy,1
Adjectives,35. heavy,MVI_9709,Adjectives__35. heavy__MVI_9709.npy,2
Adjectives,35. heavy,MVI_9710,Adjectives__35. heavy__MVI_9710.npy,3
Adjectives,35. heavy,MVI_9831,Adjectives__35. heavy__MVI_9831.npy,4
Adjectives,35. heavy,MVI_9832,Adjectives__35. heavy__MVI_9832.npy,5
Adjectives,35. heavy,MVI_9833,Adjectives__35. heavy__MVI_9833.npy,6
Adjectives,35. heavy,MVI_9834,Adjectives__35. heavy__MVI_9834.npy,7
Adjectives,36. light,MVI_9711,Adjectives__36. light__MVI_9711.npy,0
Adjectives,36. light,MVI_9712,Adjectives__36. light__MVI_9712.npy,1
Adjectives,36. light,MVI_9713,Adjectives__36. light__MVI_9713.npy,2
Adjectives,36. light,MVI_9714,Adjectives__36. light__MVI_9714.npy,3
Adjectives,36. light,MVI_9835,Adjectives__36. light__MVI_9835.npy,4
Adjectives,36. light,MVI_9836,Adjectives__36. light__MVI_9836.npy,5
Adjectives,36. light,MVI_9837,Adjectives__36. light__MVI_9837.npy,6
Adjectives,36. light,MVI_9838,Adjectives__36. light__MVI_9838.npy,7
Adjectives,39. famous,MVI_9715,Adjectives__39. famous__MVI_9715.npy,0
Adjectives,39. famous,MVI_9716,Adjectives__39. famous__MVI_9716.npy,1
Adjectives,39. famous,MVI_9717,Adjectives__39. famous__MVI_9717.npy,2
Adjectives,39. famous,MVI_9718,Adjectives__39. famous__MVI_9718.npy,3
Adjectives,39. famous,MVI_9839,Adjectives__39. famous__MVI_9839.npy,4
Adjectives,39. famous,MVI_9841,Adjectives__39. famous__MVI_9841.npy,5
Adjectives,39. famous,MVI_9842,Adjectives__39. famous__MVI_9842.npy,6
Adjectives,39. famous,MVI_9843,Adjectives__39. famous__MVI_9843.npy,7
Adjectives,4. sad,MVI_9565,Adjectives__4. sad__MVI_9565.npy,0
Adjectives,4. sad,MVI_9566,Adjectives__4. sad__MVI_9566.npy,1
Adjectives,4. sad,MVI_9567,Adjectives__4. sad__MVI_9567.npy,2
Adjectives,4. sad,MVI_9568,Adjectives__4. sad__MVI_9568.npy,3
Adjectives,4. sad,MVI_9719,Adjectives__4. sad__MVI_9719.npy,4
Adjectives,4. sad,MVI_9720,Adjectives__4. sad__MVI_9720.npy,5
Adjectives,4. sad,MVI_9721,Adjectives__4. sad__MVI_9721.npy,6
Adjectives,4. sad,MVI_9722,Adjectives__4. sad__MVI_9722.npy,7
Adjectives,5. Beautiful,MVI_9573,Adjectives__5. Beautiful__MVI_9573.npy,4
Adjectives,5. Beautiful,MVI_9569,Adjectives__5. Beautiful__MVI_9569.npy,0
Adjectives,5. Beautiful,MVI_9570,Adjectives__5. Beautiful__MVI_9570.npy,1
Adjectives,5. Beautiful,MVI_9571,Adjectives__5. Beautiful__MVI_9571.npy,2
Adjectives,5. Beautiful,MVI_9572,Adjectives__5. Beautiful__MVI_9572.npy,3
Adjectives,5. Beautiful,MVI_9723,Adjectives__5. Beautiful__MVI_9723.npy,5
Adjectives,5. Beautiful,MVI_9724,Adjectives__5. Beautiful__MVI_9724.npy,6
Adjectives,5. Beautiful,MVI_9725,Adjectives__5. Beautiful__MVI_9725.npy,7
Adjectives,5. Beautiful,MVI_9726,Adjectives__5. Beautiful__MVI_9726.npy,8
Adjectives,6. Ugly,MVI_9576,Adjectives__6. Ugly__MVI_9576.npy,0
Adjectives,6. Ugly,MVI_9577,Adjectives__6. Ugly__MVI_9577.npy,1
Adjectives,6. Ugly,MVI_9578,Adjectives__6. Ugly__MVI_9578.npy,2
Adjectives,6. Ugly,MVI_9579,Adjectives__6. Ugly__MVI_9579.npy,3
Adjectives,6. Ugly,MVI_9844,Adjectives__6. Ugly__MVI_9844.npy,4
Adjectives,6. Ugly,MVI_9845,Adjectives__6. Ugly__MVI_9845.npy,5
Adjectives,6. Ugly,MVI_9846,Adjectives__6. Ugly__MVI_9846.npy,6
Adjectives,6. Ugly,MVI_9847,Adjectives__6. Ugly__MVI_9847.npy,7
Adjectives,7. Deaf,MVI_9580,Adjectives__7. Deaf__MVI_9580.npy,0
Adjectives,7. Deaf,MVI_9581,Adjectives__7. Deaf__MVI_9581.npy,1
Adjectives,7. Deaf,MVI_9582,Adjectives__7. Deaf__MVI_9582.npy,2
Adjectives,7. Deaf,MVI_9583,Adjectives__7. Deaf__MVI_9583.npy,3
Adjectives,7. Deaf,MVI_9848,Adjectives__7. Deaf__MVI_9848.npy,4
Adjectives,7. Deaf,MVI_9849,Adjectives__7. Deaf__MVI_9849.npy,5
Adjectives,7. Deaf,MVI_9850,Adjectives__7. Deaf__MVI_9850.npy,6
Adjectives,7. Deaf,MVI_9851,Adjectives__7. Deaf__MVI_9851.npy,7
Adjectives,78. long,MVI_5106,Adjectives__78. long__MVI_5106.npy,0
Adjectives,78. long,MVI_5107,Adjectives__78. long__MVI_5107.npy,1
Adjectives,78. long,MVI_5108,Adjectives__78. long__MVI_5108.npy,2
Adjectives,78. long,MVI_5186,Adjectives__78. long__MVI_5186.npy,3
Adjectives,78. long,MVI_5187,Adjectives__78. long__MVI_5187.npy,4
Adjectives,78. long,MVI_5188,Adjectives__78. long__MVI_5188.npy,5
Adjectives,78. long,MVI_5266,Adjectives__78. long__MVI_5266.npy,6
Adjectives,78. long,MVI_5267,Adjectives__78. long__MVI_5267.npy,7
Adjectives,78. long,MVI_5268,Adjectives__78. long__MVI_5268.npy,8
Adjectives,78. long,MVI_9217,Adjectives__78. long__MVI_9217.npy,9
Adjectives,78. long,MVI_9218,Adjectives__78. long__MVI_9218.npy,10
Adjectives,78. long,MVI_9219,Adjectives__78. long__MVI_9219.npy,11
Adjectives,78. long,MVI_9298,Adjectives__78. long__MVI_9298.npy,12
Adjectives,78. long,MVI_9299,Adjectives__78. long__MVI_9299.npy,13
Adjectives,78. long,MVI_9300,Adjectives__78. long__MVI_9300.npy,14
Adjectives,78. long,MVI_9377,Adjectives__78. long__MVI_9377.npy,0
Adjectives,78. long,MVI_9378,Adjectives__78. long__MVI_9378.npy,1
Adjectives,78. long,MVI_9379,Adjectives__78. long__MVI_9379.npy,2
Adjectives,78. long,MVI_9458,Adjectives__78. long__MVI_9458.npy,3
Adjectives,78. long,MVI_9459,Adjectives__78. long__MVI_9459.npy,4
Adjectives,78. long,MVI_9460,Adjectives__78. long__MVI_9460.npy,5
