class_id,class_name,n_test_samples,l_hand_mean_vel,r_hand_mean_vel,quiet_over_active_ratio,hand_type
66,3. Fish,4,0.068705,0.071535,0.9604,two_hand
67,3. Medicine,3,0.09859,0.113551,0.8682,two_hand
68,3. happy,4,0.11382,0.106562,0.9362,two_hand
69,30. Bedroom,3,0.15597,0.160265,0.9732,two_hand
70,30. Hospital,4,0.132713,0.12297,0.9266,two_hand
71,30. dirty,1,0.104796,0.080692,0.77,two_hand
72,31. Kitchen,3,0.100202,0.106351,0.9422,two_hand
73,31. Temple,4,0.131444,0.132629,0.9911,two_hand
74,31. strong,2,0.102534,0.122794,0.835,two_hand
75,32. Bathroom,3,0.092271,0.098302,0.9387,two_hand
76,32. Market,3,0.088684,0.102107,0.8685,two_hand
77,32. weak,2,0.09299,0.096118,0.9675,two_hand
78,33. India,4,0.040352,0.086506,0.4665,single_hand
79,33. Pencil,3,0.079381,0.113715,0.6981,two_hand
80,33. dead,1,0.144842,0.098993,0.6835,two_hand
81,34. Ground,4,0.114979,0.114562,0.9964,two_hand
82,34. Pen,3,0.043275,0.081774,0.5292,two_hand
83,34. alive,1,0.083678,0.097788,0.8557,two_hand
84,35. Bank,4,0.087643,0.09453,0.9271,two_hand
85,35. Photograph,3,0.120588,0.118904,0.986,two_hand
86,35. heavy,1,0.137399,0.137161,0.9983,two_hand
87,36. Location,4,0.119205,0.126015,0.946,two_hand
88,36. Soap,3,0.076957,0.087759,0.8769,two_hand
89,36. light,2,0.122235,0.115468,0.9446,two_hand
90,37. Book,3,0.091549,0.096692,0.9468,two_hand
91,37. Hat,4,0.059958,0.089143,0.6726,two_hand
92,38. Dress,4,0.087841,0.071953,0.8191,two_hand
93,38. Page,3,0.091336,0.128213,0.7124,two_hand
94,39. Key,3,0.083523,0.084346,0.9902,two_hand
95,39. Suit,4,0.114696,0.118345,0.9692,two_hand
96,39. famous,1,0.110365,0.082622,0.7486,two_hand
97,4. Bird,4,0.142291,0.145051,0.981,two_hand
98,4. Money,3,0.089721,0.087976,0.9805,two_hand
99,4. sad,1,0.024982,0.063738,0.3919,single_hand
100,40. I,4,0.045797,0.084494,0.542,two_hand
101,40. Paint,3,0.094923,0.118466,0.8013,two_hand
102,40. Skirt,4,0.10488,0.079354,0.7566,two_hand
103,41. Letter,3,0.093972,0.109128,0.8611,two_hand
104,41. Shirt,4,0.101598,0.101592,0.9999,two_hand
105,41. you,4,0.042423,0.07569,0.5605,two_hand
106,42. Paper,3,0.090664,0.103556,0.8755,two_hand
107,42. T-Shirt,4,0.136548,0.129768,0.9503,two_hand
108,42. he,4,0.080455,0.108622,0.7407,two_hand
109,43. Lock,3,0.086014,0.099406,0.8653,two_hand
110,43. Pant,4,0.056699,0.059405,0.9545,two_hand
111,43. she,4,0.039457,0.084665,0.466,single_hand
112,44. Shoes,4,0.110283,0.111953,0.9851,two_hand
113,44. Telephone,3,0.056731,0.079969,0.7094,two_hand
114,44. it,4,0.115494,0.061257,0.5304,two_hand
115,45. Bag,3,0.090819,0.101773,0.8924,two_hand
116,45. Pocket,4,0.054156,0.0693,0.7815,two_hand
117,45. we,4,0.120125,0.105913,0.8817,two_hand
118,46. Box,3,0.131557,0.133487,0.9855,two_hand
119,46. Clothing,4,0.048857,0.084433,0.5787,two_hand
120,46. you (plural),4,0.048467,0.092076,0.5264,two_hand
121,47. Gift,3,0.083447,0.106238,0.7855,two_hand
122,47. Red,4,0.045839,0.082829,0.5534,two_hand
123,47. they,4,0.134106,0.094648,0.7058,two_hand
124,48. Card,3,0.11628,0.124221,0.9361,two_hand
125,48. Green,4,0.082752,0.086352,0.9583,two_hand
126,48. Hello,4,0.070488,0.084785,0.8314,two_hand
127,49. Blue,4,0.053256,0.078767,0.6761,two_hand
128,49. How are you,4,0.134613,0.133795,0.9939,two_hand
129,49. Ring,3,0.107306,0.109975,0.9757,two_hand
130,5. Beautiful,1,0.056476,0.103671,0.5448,two_hand
131,5. Bill,3,0.076638,0.087337,0.8775,two_hand
132,5. Cow,4,0.123025,0.132623,0.9276,two_hand
133,50. Alright,4,0.099357,0.098053,0.9869,two_hand
134,50. Tool,3,0.129483,0.132868,0.9745,two_hand
135,50. Yellow,4,0.045051,0.085791,0.5251,two_hand
136,51. Brown,4,0.084503,0.083632,0.9897,two_hand
137,51. Clock,3,0.077163,0.110301,0.6996,two_hand
138,51. Good Morning,4,0.056373,0.085226,0.6615,two_hand
139,52. Good afternoon,6,0.047974,0.101245,0.4738,single_hand
140,52. Lamp,3,0.039641,0.096435,0.4111,single_hand
141,52. Pink,4,0.058887,0.09904,0.5946,two_hand
142,53. Fan,3,0.070876,0.11213,0.6321,two_hand
143,53. Good evening,7,0.096161,0.122344,0.786,two_hand
144,53. Orange,4,0.071439,0.102521,0.6968,two_hand
145,54. Black,4,0.064985,0.092956,0.6991,two_hand
146,54. Cell phone,3,0.044012,0.084032,0.5238,two_hand
147,54. Good night,4,0.062785,0.098033,0.6405,two_hand
148,55. Computer,3,0.147144,0.144325,0.9808,two_hand
149,55. Thank you,4,0.105516,0.099325,0.9413,two_hand
150,55. White,4,0.04606,0.08267,0.5572,two_hand
151,56. Grey,4,0.059551,0.09611,0.6196,two_hand
152,56. Laptop,3,0.114436,0.122133,0.937,two_hand
153,56. Pleased,4,0.042869,0.073078,0.5866,two_hand
154,57. Colour,4,0.085712,0.075992,0.8866,two_hand
155,57. Screen,3,0.108479,0.09961,0.9182,two_hand
156,58. Camera,3,0.096505,0.110011,0.8772,two_hand
157,58. Son,4,0.065148,0.124472,0.5234,two_hand
158,59. Daughter,4,0.081315,0.116747,0.6965,two_hand
159,59. Television,3,0.067292,0.071745,0.9379,two_hand
160,6. Marriage,3,0.087476,0.119458,0.7323,two_hand
161,6. Mouse,4,0.049227,0.062528,0.7873,two_hand
162,6. Ugly,2,0.103007,0.096236,0.9343,two_hand
163,60. Mother,4,0.081393,0.07989,0.9815,two_hand
164,60. Radio,3,0.09333,0.086217,0.9238,two_hand
165,61. Father,4,0.093754,0.097424,0.9623,two_hand
166,61. Summer,3,0.053557,0.078965,0.6782,two_hand
167,62. Parent,4,0.097803,0.113717,0.8601,two_hand
168,62. Spring,3,0.099026,0.098797,0.9977,two_hand
169,63. Baby,4,0.072345,0.096966,0.7461,two_hand
170,63. Winter,3,0.095668,0.093532,0.9777,two_hand
171,64. Fall,3,0.119063,0.085571,0.7187,two_hand
172,64. Man,4,0.048866,0.079811,0.6123,two_hand
173,65. Season,3,0.172266,0.185397,0.9292,two_hand
174,65. Woman,4,0.035546,0.079601,0.4466,single_hand
175,66. Brother,4,0.076986,0.108853,0.7072,two_hand
176,66. Sunday,1,0.041107,0.060987,0.674,two_hand
177,67. Monday,1,0.079265,0.104809,0.7563,two_hand
178,67. Sister,4,0.062251,0.103214,0.6031,two_hand
179,68. Family,3,0.108717,0.116524,0.933,two_hand
180,68. Tuesday,1,0.083004,0.102693,0.8083,two_hand
181,69. Grandfather,3,0.106862,0.111056,0.9622,two_hand
182,69. Wednesday,1,0.112146,0.123792,0.9059,two_hand
183,7. Deaf,1,0.045592,0.070969,0.6424,two_hand
184,7. Horse,4,0.089454,0.092718,0.9648,two_hand
185,7. Team,3,0.090558,0.092535,0.9786,two_hand
186,70. Grandmother,3,0.076819,0.107362,0.7155,two_hand
187,70. Thursday,1,0.036572,0.057763,0.6331,two_hand
188,71. Friday,1,0.051876,0.09406,0.5515,two_hand
189,71. Husband,4,0.094979,0.109492,0.8674,two_hand
190,72. Saturday,1,0.038816,0.082602,0.4699,single_hand
191,72. Wife,4,0.082645,0.098824,0.8363,two_hand
192,73. King,4,0.054011,0.101071,0.5344,two_hand
193,73. Today,1,0.057885,0.0961,0.6023,two_hand
194,74. Queen,4,0.06052,0.098594,0.6138,two_hand
195,74. Tomorrow,1,0.043562,0.07637,0.5704,two_hand
196,75. President,4,0.106279,0.106968,0.9936,two_hand
197,75. Yesterday,1,0.054345,0.091808,0.5919,two_hand
198,76. Neighbour,4,0.116887,0.110434,0.9448,two_hand
199,76. Week,1,0.090098,0.083055,0.9218,two_hand
200,77. Boy,4,0.061131,0.088988,0.687,two_hand
201,77. Month,1,0.074866,0.100787,0.7428,two_hand
202,78. Girl,4,0.04165,0.082636,0.504,two_hand
203,78. Year,1,0.075241,0.078474,0.9588,two_hand
204,78. long,4,0.069477,0.098619,0.7045,two_hand
205,79. Child,4,0.0469,0.087283,0.5373,two_hand
206,79. Hour,1,0.086795,0.105467,0.823,two_hand
207,79. short,4,0.099915,0.094887,0.9497,two_hand
208,8. Animal,4,0.141996,0.138816,0.9776,two_hand
209,8. Blind,1,0.031174,0.072608,0.4293,single_hand
210,8. Race (ethnicity),3,0.066724,0.092116,0.7243,two_hand
211,80. Adult,4,0.090532,0.098216,0.9218,two_hand
212,80. Minute,1,0.032645,0.074099,0.4406,single_hand
213,80. tall,4,0.091346,0.094652,0.9651,two_hand
214,81. Friend,4,0.068797,0.089508,0.7686,two_hand
215,81. Second,2,0.118452,0.073396,0.6196,two_hand
216,81. wide,4,0.13724,0.127319,0.9277,two_hand
217,82. Morning,1,0.065629,0.101525,0.6464,two_hand
218,82. Player,4,0.105241,0.121931,0.8631,two_hand
219,82. narrow,4,0.143749,0.113287,0.7881,two_hand
220,83. Afternoon,1,0.029078,0.088671,0.3279,single_hand
221,83. Crowd,4,0.099763,0.106278,0.9387,two_hand
222,83. big large,4,0.125521,0.107162,0.8537,two_hand
223,84. Evening,1,0.047551,0.072615,0.6548,two_hand
224,84. Teacher,3,0.074401,0.090201,0.8248,two_hand
225,84. small little,4,0.11051,0.10981,0.9937,two_hand
226,85. Night,1,0.078046,0.099804,0.782,two_hand
227,85. Student,3,0.130154,0.125272,0.9625,two_hand
228,85. slow,4,0.091024,0.093138,0.9773,two_hand
229,86. Lawyer,3,0.102662,0.093907,0.9147,two_hand
230,86. Time,1,0.07498,0.087299,0.8589,two_hand
231,86. fast,4,0.084746,0.073093,0.8625,two_hand
232,87. Doctor,3,0.0791,0.082935,0.9538,two_hand
233,87. hot,4,0.131005,0.122651,0.9362,two_hand
234,88. Patient,3,0.056751,0.106982,0.5305,two_hand
235,88. cold,4,0.098751,0.115478,0.8551,two_hand
236,89. Waiter,3,0.151644,0.130953,0.8636,two_hand
237,89. warm,4,0.048424,0.098712,0.4906,single_hand
238,9. Nice,1,0.026754,0.063904,0.4187,single_hand
239,9. Technology,3,0.106716,0.097143,0.9103,two_hand
240,9. Train,4,0.060308,0.086432,0.6978,two_hand
241,90. Secretary,3,0.086362,0.109188,0.7909,two_hand
242,90. cool,4,0.05919,0.094365,0.6272,two_hand
243,91. Priest,3,0.076357,0.0621,0.8133,two_hand
244,91. new,4,0.055209,0.079561,0.6939,two_hand
245,92. Police,3,0.093513,0.098762,0.9468,two_hand
246,92. old,4,0.112222,0.095689,0.8527,two_hand
247,93. Soldier,3,0.084229,0.093918,0.8968,two_hand
248,93. young,4,0.070995,0.077311,0.9183,two_hand
249,94. Artist,3,0.124712,0.125231,0.9959,two_hand
250,94. good,4,0.049653,0.079236,0.6266,two_hand
251,95. Author,3,0.216268,0.185136,0.856,two_hand
252,95. bad,4,0.063526,0.080047,0.7936,two_hand
253,96. Manager,3,0.148014,0.140079,0.9464,two_hand
254,96. wet,4,0.104698,0.1073,0.9758,two_hand
255,97. Reporter,3,0.113707,0.126004,0.9024,two_hand
256,97. dry,4,0.119821,0.128792,0.9303,two_hand
257,98. Actor,3,0.094941,0.120654,0.7869,two_hand
258,98. sick,4,0.1193,0.180828,0.6597,two_hand
259,99. Job,3,0.03803,0.172854,0.22,single_hand
260,99. healthy,4,0.120494,0.122524,0.9834,two_hand
261,Ex. Monsoon,3,0.114261,0.111429,0.9752,two_hand
